ID,Matricula,P1,Ano,Semestre,Semestre da disciplina
851,2018,42,2018,2,1
852,2015,10,2015,1,1
853,2013,75,2014,1,1
854,2011,73,2013,2,4
855,2017,31,2017,2,1
856,2017,47,2017,1,1
857,2018,73,2018,2,2
858,2016,54,2016,1,1
859,2011,63,2013,1,2
860,2018,66,2018,2,1
861,2017,73,2017,2,1
862,2017,54,2017,2,1
863,2014,62,2014,1,1
864,2014,6,2014,2,2
865,2014,55,2014,2,1
866,2017,46,2017,1,1
867,2014,79,2014,1,1
868,2016,65,2017,1,1
869,2018,32,2018,1,1
870,2014,81,2014,2,1
871,2014,85,2014,2,1
872,2014,48,2014,1,1
873,2017,61,2017,1,1
874,2017,26,2018,1,1
875,2010,60,2014,2,2
876,2012,73,2013,1,2
877,2018,85,2019,1,5
878,2019,14,2019,1,1
879,2014,86,2014,2,2
880,2016,87,2016,2,2
881,2012,13,2013,1,2
882,2018,9,2018,1,1
883,2012,15,2013,1,2
884,2017,48,2017,1,1
885,2016,98,2016,2,2
886,2016,35,2016,2,2
887,2018,42,2018,1,1
888,2015,98,2015,2,1
889,2017,39,2018,2,1
890,2019,8,2019,1,1
891,2014,61,2014,2,2
892,2017,64,2017,2,1
893,2015,85,2015,1,1
894,2017,44,2019,1,5
895,2011,37,2013,1,2
896,2018,31,2018,1,1
897,2018,77,2018,2,2
898,2017,22,2017,2,1
899,2016,3,2019,1,1
900,2017,76,2017,1,1
901,2015,53,2015,2,1
902,2016,15,2016,2,2
903,2013,95,2018,1,1
904,2018,73,2018,2,2
905,2014,48,2014,1,1
906,2012,60,2013,1,2
907,2012,50,2013,1,3
908,2015,68,2015,2,1
909,2017,57,2017,1,1
910,2014,70,2014,2,2
911,2017,54,2017,2,1
912,2015,55,2015,1,1
913,2011,23,2013,1,2
914,2016,51,2016,2,2
915,2018,38,2018,1,1
916,2014,67,2014,1,1
917,2018,6,2018,2,2
918,2017,46,2017,1,1
919,2017,59,2017,2,1
920,2019,46,2019,1,1
921,2012,22,2013,1,2
922,2016,98,2016,2,2
923,2014,49,2014,2,1
924,2011,20,2013,1,3
925,2016,100,2016,2,2
926,2012,40,2013,1,3
927,2012,23,2013,1,2
928,2014,82,2014,2,1
929,2018,86,2018,2,1
930,2017,57,2017,2,1
931,2016,66,2016,1,1
932,2017,6,2017,2,1
933,2010,80,2014,2,2
934,2019,9,2019,1,1
935,2017,3,2018,2,2
936,2015,82,2015,2,1
937,2011,0,2013,1,2
938,2017,45,2017,2,1
939,2010,30,2013,1,2
940,2019,35,2019,1,1
941,2011,10,2013,1,2
942,2016,9,2017,2,1
943,2019,93,2019,1,1
944,2014,0,2014,2,2
945,2015,3,2016,1,1
946,2012,60,2013,2,4
947,2018,92,2018,2,1
948,2008,38,2015,2,6
949,2016,0,2018,2,1
950,2017,73,2017,2,1
951,2015,4,2016,1,1
952,2017,9,2017,2,1
953,2016,100,2016,1,1
954,2010,3,2013,1,2
955,2014,51,2014,2,1
956,2014,87,2014,2,1
957,2014,33,2014,2,1
958,2014,100,2014,1,1
959,2017,67,2017,1,1
960,2012,0,2013,1,2
961,2018,85,2018,1,1
962,2017,63,2017,1,1
963,2018,4,2018,1,1
964,2014,22,2014,1,1
965,2015,42,2017,1,1
966,2014,92,2014,2,2
967,2016,38,2016,1,1
968,2012,52,2013,1,2
969,2015,45,2015,1,1
970,2015,48,2016,2,2
971,2019,5,2019,1,1
972,2018,100,2018,1,1
973,2017,18,2018,1,1
974,2018,14,2018,2,1
975,2015,58,2015,1,1
976,2014,75,2014,2,1
977,2018,72,2019,1,5
978,2018,2,2018,1,1
979,2018,58,2018,2,2
980,2016,85,2016,2,2
981,2011,50,2013,1,2
982,2017,35,2017,2,1
983,2015,85,2015,1,1
984,2018,74,2018,1,1
985,2017,61,2017,2,1
986,2016,41,2016,2,2
987,2017,78,2017,1,1
988,2017,39,2017,1,1
989,2017,81,2017,1,1
990,2017,54,2017,2,1
991,2018,34,2018,1,1
992,2017,79,2017,1,1
993,2018,55,2018,2,1
994,2016,91,2016,2,2
995,2014,78,2014,2,2
996,2012,0,2013,2,4
997,2015,19,2016,2,2
998,2011,100,2014,2,2
999,2016,82,2016,1,1
1000,2014,80,2014,2,2
1001,2016,66,2017,1,1
1002,2017,44,2017,2,1
