ID,Matricula,P1,Ano,Semestre,Semestre da disciplina,Situacao
1,2011,71,2013,1,3,A
2,2017,23,2017,2,1,A
3,2011,2,2013,1,2,R
4,2019,28,2019,1,1,A
5,2016,12,2017,1,1,R
6,2016,92,2016,2,2,A
7,2017,64,2017,1,1,A
8,2017,63,2017,1,1,A
9,2012,100,2013,1,3,A
10,2015,35,2015,2,1,A
11,2014,3,2014,1,1,R
12,2015,45,2015,1,1,A
13,2016,30,2016,1,1,R
14,2015,38,2015,1,1,R
15,2017,60,2017,2,1,A
16,2012,19,2013,1,2,A
17,2016,15,2016,2,2,R
18,2009,8,2013,2,6,R
19,2014,59,2014,2,1,A
20,2018,34,2019,1,1,R
21,2014,43,2014,1,1,A
22,2013,55,2014,1,1,A
23,2018,98,2018,1,1,A
24,2015,70,2015,2,1,A
25,2017,58,2017,1,1,A
26,2016,11,2017,1,1,R
27,2017,51,2019,1,5,R
28,2012,64,2013,1,2,A
29,2011,18,2013,2,4,R
30,2015,35,2015,2,1,A
31,2010,37,2015,2,6,A
32,2014,59,2014,1,1,A
33,2012,12,2013,1,2,R
34,2014,13,2014,2,2,R
35,2016,81,2016,1,1,A
36,2012,13,2013,1,2,R
37,2005,0,2013,1,3,R
38,2011,2,2013,1,2,R
39,2017,60,2017,2,1,A
40,2015,90,2016,1,1,A
41,2016,39,2018,1,1,R
42,2012,96,2013,1,3,A
43,2015,42,2015,2,1,A
44,2016,0,2017,1,1,R
45,2017,73,2017,2,1,A
46,2017,49,2019,1,5,R
47,2012,67,2013,1,2,A
48,2016,54,2017,1,1,A
49,2018,84,2018,1,1,A
50,2016,19,2017,1,1,R
51,2018,85,2018,2,2,A
52,2014,9,2016,1,1,R
53,2016,81,2016,2,2,A
54,2018,74,2018,1,1,A
55,2017,78,2017,1,1,A
56,2007,34,2013,1,2,R
57,2015,28,2015,2,1,A
58,2014,69,2014,1,1,A
59,2018,55,2018,1,1,A
60,2014,42,2014,2,2,R
61,2014,100,2014,2,2,A
62,2018,45,2018,1,1,A
63,2014,92,2014,2,1,A
64,2014,66,2014,1,1,A
65,2012,84,2013,1,3,A
66,2014,62,2014,2,2,R
67,2017,43,2017,1,1,R
68,2017,100,2017,2,1,A
69,2012,54,2013,1,2,A
70,2015,90,2015,1,1,A
71,2016,35,2016,2,2,R
72,2015,0,2016,1,1,R
73,2014,0,2014,2,1,R
